image_file,index,decision,level_1_score,level_2_score,level_3_score,overall_score,n_total,n_yes,n_no,n_unknown,regenerate_prompt,edit_instruction
84_479d2a69.jpg,84,edit,100.0,92.86,62.5,84.62,13,9,0,4,,"Add visible text for the brand name Belini and the product details BS147, 3 UK, 36 EU, and BS147TAN3"
85_5027629e.jpg,85,keep,100.0,100.0,,100.0,15,15,0,0,,
86_734102ea.jpg,86,keep,100.0,100.0,,100.0,6,6,0,0,,
87_90cd9cf3.jpg,87,keep,100.0,90.0,,95.0,10,9,0,1,,
90_cb9c61e2.jpg,90,edit,100.0,90.0,50.0,88.89,9,7,0,2,,"Make the package text clearly show AmazonBasics, Air Freshener Refill, Lavender, 1-Gallon, and 144-Pack"
92_59bc9ed2.jpg,92,keep,100.0,100.0,100.0,100.0,13,13,0,0,,
93_9f1b7d9b.jpg,93,keep,100.0,100.0,,100.0,11,11,0,0,,
94_fdd2c1f3.jpg,94,edit,100.0,85.0,66.67,83.33,15,11,1,3,,"Add the Amazon Prime logo to the product packaging. Make the text ""Black Pu'erh Tea"", ""Full-Leaf Bags"", and ""15 Count"" clearly readable on the packaging"
96_e6e22f77.jpg,96,edit,66.67,100.0,100.0,85.71,7,6,1,0,,Change the main body/frame color to matte black; keep the black metal parts consistent
98_c4530e6e.jpg,98,edit,100.0,100.0,0.0,87.5,8,7,1,0,,Make the gemstones encircle the full circumference of the band
99_9fe805fd.jpg,99,edit,100.0,66.67,100.0,87.5,8,7,1,0,,"Change the packaging count text from ""60 vegan capsules"" to ""60 ct"""
